Best: 42060.801 d 57939.199 d% 0.579 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 1.120s)
Best: 41973.711 d 1.962 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.403s)
Best: 41972.028 d 1.683 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.515s)
Best: 41969.598 d 2.431 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.525s)
Best: 41968.920 d 0.678 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.037s)
Best: 41968.137 d 0.783 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.552s)
Best: 41966.482 d 1.655 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.468s)
Best: 41966.365 d 0.117 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.423s)
Best: 41965.653 d 0.712 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.451s)
Best: 41964.683 d 0.970 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.045s)
Best: 41964.205 d 0.478 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.273s)
Best: 41963.698 d 0.507 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.406s)
Best: 41963.627 d 0.071 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 5.975s)
Best: 41963.331 d 0.296 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.415s)
Best: 41962.682 d 0.649 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.301s)
Best: 41960.503 d 2.179 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.292s)
Best: 41958.795 d 1.708 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.392s)
Best: 41956.996 d 1.798 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.619s)
Best: 41955.291 d 1.705 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.431s)
Best: 41953.908 d 1.383 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.018s)
Best: 41951.996 d 1.912 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.516s)
Best: 41950.860 d 1.136 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.237s)
Best: 41950.687 d 0.173 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.319s)
Best: 41948.907 d 1.780 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.437s)
Best: 41947.971 d 0.936 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.204s)
Best: 41947.136 d 0.835 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.402s)
Best: 41946.571 d 0.565 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.742s)
Best: 41946.180 d 0.391 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.454s)
Best: 41945.656 d 0.524 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.466s)
Best: 41945.329 d 0.327 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.661s)
Best: 41944.986 d 0.343 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.430s)
Best: 41944.681 d 0.305 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.528s)
Best: 41944.497 d 0.184 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.522s)
Best: 41944.227 d 0.270 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.798s)
Best: 41944.109 d 0.118 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.396s)
Best: 41943.969 d 0.140 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.405s)
Best: 41943.680 d 0.289 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.453s)
Best: 41943.580 d 0.100 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 5.811s)
Best: 41943.519 d 0.061 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.244s)
Best: 41943.437 d 0.081 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.238s)
Best: 41943.400 d 0.037 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.330s)
Best: 41943.375 d 0.025 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.191s)
Best: 41943.333 d 0.042 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.397s)
Best: 41943.325 d 0.009 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.286s)
Best: 41943.304 d 0.020 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.366s)
Best: 41943.278 d 0.027 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 5.983s)
Best: 41943.263 d 0.014 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.266s)
Best: 41943.258 d 0.005 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.420s)
Best: 41943.253 d 0.005 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.240s)
Best: 41943.253 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 5.942s)
Best: 41943.252 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 5.763s)
Best: 41943.252 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 5.846s)
Best: 41943.252 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 5.894s)
Best: 41943.252 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.109s)
Best: 41943.252 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.020s)
Best: 41943.252 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.456s)
Best: 41943.252 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.324s)
Best: 41943.252 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.370s)
Best: 41943.252 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.377s)
Best: 41943.252 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.340s)
Best: 41943.252 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 5.987s)
Best: 41943.252 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.496s)
Best: 41943.252 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.248s)
Best: 41943.252 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.366s)
Best: 41943.252 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.358s)
Best: 41943.252 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.327s)
Best: 41943.252 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 5.927s)
Best: 41943.252 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.572s)
Best: 41939.129 d 4.123 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.413s)
Best: 41939.129 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.255s)
Best: 41939.129 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.322s)
Best: 41939.129 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.568s)
Best: 41939.129 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.283s)
Best: 41939.129 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.417s)
Best: 41939.129 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.294s)
Best: 41939.129 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.293s)
Best: 41939.129 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.587s)
Best: 41939.129 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.660s)
Best: 41939.129 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.527s)
Best: 41939.129 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.239s)
Best: 41939.129 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.476s)
Best: 41939.129 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.143s)
Best: 41939.129 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.558s)
Best: 41939.129 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.245s)
Best: 41939.129 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.325s)
Best: 41939.129 d 0.000 d% 0.000 (heat 0.01; genome rate 0.5; dna rate 0.5) (time 6.572s)
Best: 41939.129 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.392s)
Best: 41936.498 d 2.632 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.592s)
Best: 41936.498 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 6.014s)
Best: 41936.498 d 0.000 d% 0.000 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 5.959s)
Best: 41936.498 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.016s)
Best: 41936.498 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.299s)
Best: 41936.498 d 0.000 d% 0.000 (heat 0.3; genome rate 0.5; dna rate 0.5) (time 6.663s)
Best: 41936.498 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.735s)
Best: 41936.498 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.362s)
Best: 41936.498 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.342s)
Best: 41936.498 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.174s)
Best: 41936.498 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.395s)
Best: 41936.498 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.184s)
Best: 41936.498 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.403s)
Best: 41936.498 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.519s)
Best: 41936.498 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.375s)
