Best: 38200.625 d 61799.375 d% 0.618 (heat 0.3; genome rate 0.99; dna rate 0.99) (time 1.284s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.538s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.542s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.595s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.767s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.497s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.512s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.507s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.210s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.707s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.921s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.460s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.752s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 5.963s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.494s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.105s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.057s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.99; dna rate 0.99) (time 6.264s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.745s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.406s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.522s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.598s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.752s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.525s)
Best: 38200.625 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.269s)
Best: 38182.764 d 17.860 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.401s)
Best: 38177.124 d 5.640 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.606s)
Best: 38173.162 d 3.963 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.683s)
Best: 38166.041 d 7.120 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.473s)
Best: 38161.286 d 4.755 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.185s)
Best: 38159.699 d 1.586 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.519s)
Best: 38156.822 d 2.877 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.240s)
Best: 38156.234 d 0.589 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.297s)
Best: 38154.826 d 1.408 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.123s)
Best: 38154.220 d 0.606 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.608s)
Best: 38153.150 d 1.070 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 7.115s)
Best: 38152.254 d 0.897 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.185s)
Best: 38151.609 d 0.644 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.623s)
Best: 38150.771 d 0.839 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.456s)
Best: 38150.326 d 0.445 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.656s)
Best: 38150.326 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.878s)
Best: 38150.180 d 0.146 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.438s)
Best: 38149.952 d 0.228 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.657s)
Best: 38149.919 d 0.033 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.982s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.881s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.563s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.043s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.471s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.474s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.016s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.396s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.731s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.480s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.488s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.440s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.096s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.622s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.909s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.428s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.953s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.731s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.494s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.1; genome rate 0.5; dna rate 0.5) (time 6.501s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.439s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.503s)
Best: 38149.919 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.440s)
Best: 38140.712 d 9.207 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.667s)
Best: 38130.721 d 9.992 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.656s)
Best: 38130.721 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.502s)
Best: 38130.721 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.677s)
Best: 38126.715 d 4.006 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.475s)
Best: 38108.882 d 17.833 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.521s)
Best: 38101.884 d 6.998 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.141s)
Best: 38100.157 d 1.728 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.457s)
Best: 38097.601 d 2.556 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.547s)
Best: 38087.442 d 10.158 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.514s)
Best: 38051.182 d 36.261 d% 0.001 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.463s)
Best: 38051.182 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.298s)
Best: 38051.182 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.585s)
Best: 38051.182 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.577s)
Best: 38047.936 d 3.245 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.518s)
Best: 38032.269 d 15.668 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.493s)
Best: 38031.212 d 1.056 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.707s)
Best: 38018.913 d 12.299 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.845s)
Best: 38006.906 d 12.007 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.568s)
Best: 37960.544 d 46.362 d% 0.001 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.734s)
Best: 37960.544 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.384s)
Best: 37960.544 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 5.892s)
Best: 37957.625 d 2.919 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.508s)
Best: 37955.587 d 2.038 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.454s)
Best: 37935.507 d 20.080 d% 0.001 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.114s)
Best: 37926.147 d 9.360 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.352s)
Best: 37926.147 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.351s)
Best: 37926.147 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.168s)
Best: 37913.579 d 12.568 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.262s)
Best: 37913.579 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.224s)
Best: 37899.736 d 13.842 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.424s)
Best: 37886.694 d 13.042 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.577s)
Best: 37866.207 d 20.488 d% 0.001 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.506s)
Best: 37866.207 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.550s)
Best: 37845.710 d 20.497 d% 0.001 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.586s)
Best: 37842.963 d 2.748 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.657s)
Best: 37800.617 d 42.345 d% 0.001 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.547s)
Best: 37800.617 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.265s)
Best: 37800.617 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.322s)
Best: 37800.617 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.701s)
Best: 37794.830 d 5.787 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.264s)
Best: 37787.394 d 7.436 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.037s)
Best: 37787.394 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.415s)
Best: 37767.163 d 20.231 d% 0.001 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.507s)
Best: 37759.339 d 7.824 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.506s)
Best: 37751.374 d 7.965 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.548s)
Best: 37750.284 d 1.090 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.651s)
Best: 37732.996 d 17.288 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.381s)
Best: 37724.742 d 8.254 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.160s)
Best: 37694.674 d 30.068 d% 0.001 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.156s)
Best: 37691.025 d 3.649 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.473s)
Best: 37688.337 d 2.687 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.509s)
Best: 37688.337 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.145s)
Best: 37688.337 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.586s)
Best: 37688.287 d 0.050 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.823s)
Best: 37659.846 d 28.441 d% 0.001 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.536s)
Best: 37659.846 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.466s)
Best: 37656.889 d 2.958 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.517s)
Best: 37656.889 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.299s)
Best: 37652.305 d 4.583 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.246s)
Best: 37652.305 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.356s)
Best: 37637.982 d 14.324 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.432s)
Best: 37637.982 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.355s)
Best: 37626.621 d 11.361 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.783s)
Best: 37607.669 d 18.952 d% 0.001 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.557s)
Best: 37607.669 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.418s)
Best: 37590.812 d 16.857 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.471s)
Best: 37577.094 d 13.718 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.591s)
Best: 37567.712 d 9.382 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 7.079s)
Best: 37567.712 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.511s)
Best: 37547.353 d 20.359 d% 0.001 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.477s)
Best: 37547.353 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.475s)
Best: 37538.273 d 9.080 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.058s)
Best: 37521.933 d 16.339 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.555s)
Best: 37521.933 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.622s)
Best: 37521.933 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.838s)
Best: 37521.933 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.132s)
Best: 37493.358 d 28.576 d% 0.001 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.794s)
Best: 37493.358 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.433s)
Best: 37493.358 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.157s)
Best: 37493.358 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.237s)
Best: 37493.358 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.443s)
Best: 37493.358 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.657s)
Best: 37472.492 d 20.866 d% 0.001 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.560s)
Best: 37470.024 d 2.468 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.642s)
Best: 37445.528 d 24.495 d% 0.001 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.655s)
Best: 37445.528 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.183s)
Best: 37424.193 d 21.335 d% 0.001 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.547s)
Best: 37416.043 d 8.150 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.509s)
Best: 37416.043 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.227s)
Best: 37416.043 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.695s)
Best: 37404.553 d 11.490 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.069s)
Best: 37404.553 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.445s)
Best: 37390.184 d 14.368 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.387s)
Best: 37380.218 d 9.966 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.551s)
Best: 37377.130 d 3.088 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.561s)
Best: 37338.259 d 38.871 d% 0.001 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.511s)
Best: 37338.259 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.879s)
Best: 37338.259 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.486s)
Best: 37338.259 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.602s)
Best: 37334.653 d 3.606 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.967s)
Best: 37325.789 d 8.864 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.532s)
Best: 37325.789 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.535s)
Best: 37308.448 d 17.342 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.456s)
Best: 37308.448 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.505s)
Best: 37304.795 d 3.653 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.484s)
Best: 37291.228 d 13.567 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.152s)
Best: 37288.806 d 2.422 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.380s)
Best: 37285.099 d 3.708 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.437s)
Best: 37282.181 d 2.918 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.630s)
Best: 37277.936 d 4.245 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.532s)
Best: 37265.271 d 12.665 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.403s)
Best: 37265.271 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.495s)
Best: 37242.733 d 22.539 d% 0.001 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.099s)
Best: 37242.733 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.505s)
Best: 37242.733 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.523s)
Best: 37242.733 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.349s)
Best: 37201.326 d 41.407 d% 0.001 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.470s)
Best: 37175.870 d 25.456 d% 0.001 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.595s)
Best: 37152.283 d 23.587 d% 0.001 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.599s)
Best: 37152.283 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.189s)
Best: 37152.283 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.372s)
Best: 37152.283 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.596s)
Best: 37152.283 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.383s)
Best: 37152.283 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.283s)
Best: 37152.283 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.469s)
Best: 37152.283 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.472s)
Best: 37151.352 d 0.932 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.253s)
Best: 37143.385 d 7.967 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.548s)
Best: 37143.385 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.548s)
Best: 37124.930 d 18.455 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.523s)
Best: 37124.930 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.430s)
Best: 37124.930 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.506s)
Best: 37114.528 d 10.402 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.681s)
Best: 37103.147 d 11.381 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.294s)
Best: 37103.147 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.600s)
Best: 37099.990 d 3.156 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.814s)
Best: 37099.990 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.566s)
Best: 37099.990 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.722s)
Best: 37092.334 d 7.657 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.464s)
Best: 37092.334 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.540s)
Best: 37079.713 d 12.621 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.800s)
Best: 37079.713 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.622s)
Best: 37076.621 d 3.091 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.355s)
Best: 37061.570 d 15.051 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.519s)
Best: 37061.570 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.691s)
Best: 37039.256 d 22.314 d% 0.001 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.790s)
Best: 37039.256 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.606s)
Best: 37039.256 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.676s)
Best: 37039.256 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.533s)
Best: 37039.256 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.540s)
Best: 37039.256 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.471s)
Best: 37030.773 d 8.483 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.004s)
Best: 37030.773 d 0.000 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.503s)
Best: 37021.635 d 9.138 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.581s)
Best: 37017.452 d 4.183 d% 0.000 (heat 0.01; genome rate 0.99; dna rate 0.99) (time 6.497s)
